National_VMV_Code,Parameter type code,Long name,Parameter list value,Unique parameter list values
7563,604_00_00_00_14,Ammonia dissolved,Water - Nutrients,
7570,606_00_00_00_14,Ammonia un-ionized (calcd.),Water - Nutrients,
7603,635_00_00_00_14,Nitrogen total,Water - Nutrients,
7657,637_00_00_00_14,Nitrogen total dissolved,Water - Nutrients,
7658,635_00_00_00_14,Nitrogen total,Water - Nutrients,
7901,632_00_00_00_14,Nitrogen particulate,Water - Nutrients,
7902,632_00_00_00_14,Nitrogen particulate,Water - Nutrients,
7912,629_00_00_00_01,Nitrogen particulate organic,Water - Nutrients,
8005,92_00_00_00_14,Tetrahydronaphthalene,Water - Hydrocarbons,
8006,312_00_00_00_14,Naphthalene,Water - Hydrocarbons,
8007,306_00_00_00_14,Hexachlorobutadiene,Water - Hydrocarbons,
8008,315_00_00_00_14,2-chloronaphthalene,Water - Hydrocarbons,
8010,148_00_00_00_14,Acenaphthylene,Water - Hydrocarbons,
8011,292_00_00_00_14,Acenaphthene,Water - Hydrocarbons,
8012,237_00_00_00_14,Pentachlorobenzene,Water - Hydrocarbons,
8013,303_00_00_00_14,Fluorene,Water - Hydrocarbons,
8021,181_00_00_00_14,alpha-benzene hexachloride OR alpha-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH),Water - Hydrocarbons,
8023,91_00_00_00_14,Hexachlorobenzene,Water - Hydrocarbons,
8027,227_00_00_00_14,gamma-benzene hexachloride OR gamma-(hexachlorocyclohexane OR hexachlorane OR BHC OR HCH) OR Lindane,Water - Pesticides,
8029,299_00_00_00_14,Phenanthrene,Water - Hydrocarbons,
8031,1270_00_00_00_14,Anthracene,Water - Hydrocarbons,
8040,146_00_00_00_14,Fluoranthene,Water - Hydrocarbons,
8041,46_00_00_00_14,Captan,Water - Pesticides,
8042,207_00_00_00_14,gamma-chlordane,Water - Pesticides,
8043,1272_00_00_00_14,Pyrene,Water - Hydrocarbons,
8044,1045_00_00_00_14,Endosulfan I,Water - Pesticides,
